NO POLISI,NOPOL LAMA,OPD,NAMA PEMILIK,JENIS_KB,MEREK_KB,TYPE_KB,TAHUN_KB,NOKA,NOSIN,AKHIR_PKB,AKHIR_STNK,LOKASI,STATUS_KB,STATUS_TAGIHAN,KETERANGAN
KTV     1,KTVP 1147,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,B,TOYOTA,LAND CRUISER 200 VX-R 4X4 AT,2017,JTMHV02J0H4221449,1VD-0371101,10/21/2026,10/21/2027,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1072,KTV- 1072,DINAS KESEHATAN,PEMKAB PENAJAM PASER UTARA,C,TOYOTA,KIJANG SUPER KF 83 LONG BENSIN,2003,MHF11KF8330069150,7K - 0569083,4/1/2027,4/1/2028,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1092,KTV- 1092,PENGELOLA (BKAD),PEMKAB PENAJAM PASER UTARA,C,TOYOTA,KIJANG GRAND LONG KF 83,2003,MHF11KF8330089324,7K - 0634831,12/8/2026,12/8/2028,PENGELOLA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1099,KTV- 1099,SEKRETARIAT DAERAH,PEMKAB PENAJAM PASER UTARA,C,NISSAN,LIVINA 1.5 X-GEAR (4X2) MT,2008,MHBG2CG1F8J008174,HR15 - 931369A,12/23/2025,12/23/2028,PEMKAB PPU,HIBAH,TIDAK AKTIF,HIBAH
KTV  1101,KTV- 1101,PENGELOLA (BKAD),DINAS KESEHATAN PPU,C,FORD,RANGER SC 2.9L (4x4) MT,2007,MNBBSBE407W687523,WLAT - 829651,12/19/2025,12/19/2027,PENGELOLA,LELANG,TIDAK AKTIF,LELANG
KTVP 4079,KTV- 2851,BADAN KEUANGAN DAN ASET DAERAH,KANTOR DINAS PENDAPATAN DAERAH PPU,R,SUZUKI,UY 125 S AT,2010,MH8CF48CAAJ424147,F484-ID-424499,7/23/2025,7/23/2025,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1108,KTV- 1108,SEKRETARIAT DAERAH,PEMKAB PENAJAM PASER UTARA,C,NISSAN,LIVINA 1.5 X-GEAR (4X2) MT,2008,MHBG2CG1F8JOO8183,HR15 - 931364A,12/23/2026,12/23/2028,SEKRETARIAT DAERAH,Pinjam Pakai,TIDAK AKTIF,PINJAM PAKAI
KTV  1116,KTVA 9005,PENGELOLA (BKAD),DINAS KESEHATAN PPU,C,TOYOTA,KIJANG STANDAR KF 60 SHORT,2006,MHF31KF6060048682,7K   0835223,4/27/2024,4/27/2022,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV  1124,KTV- 1124,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,C,TOYOTA,KIJANG INNOVA G TGN40R-GKMDKD,2008,MHFXW42G682131145,1TR - 6680155,1/20/2027,1/20/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1128,KTV- 1128,BADAN KEUANGAN DAN ASET DAERAH,PEMERINTAH KAB.PPU,C,TOYOTA,KIJANG INNOVA G TGN40R-GKMDKD,2008,MHFXW42G482131208,1TR - 6680573,1/28/2027,1/28/2029,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1134,KTV- 1134,SEKRETARIAT DAERAH,PEMKAB PENAJAM PASER UTARA,C,TOYOTA,KIJANG SUPER KF 83 LONG BENSIN,2003,MHF11KF8330091033,7K - 0640147,12/30/2026,12/30/2028,PEMKAB PPU,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  1140,KTV- 1140,PENGELOLA (BKAD),DINAS DUKCAPILNAKER,C,DAIHATSU,F601RV-GMDFJJ XENIA VVTI-1.3L,2009,MHKV1BA2J9K041016,DE43700,10/6/2025,10/6/2029,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV  1141,KTV- 1141,DINAS SOSIAL,DINAS DUKCAPILNAKER,C,DAIHATSU,F601RV-GMDFJJ XENIA VVTI-1.3L,2009,MHKV1BA2J9K042273,DE50588,10/6/2026,10/6/2029,DINAS SOSIAL,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2026,KTV- 2026,POLRES,PEMKAB PENAJAM PASER UTARA,C,CHEVROLET,TAVERA 2.2 L MT,2002,MJBTBR30F2K210937,C22NE2507908,9/30/2020,9/30/2018,POLRES,HIBAH,TIDAK AKTIF,HIBAH
KTV  2045,KTV- 2045,POLRES,PEMKAB PENAJAM PASER UTARA,C,TOYOTA,KIJANG INNOVA G(TGN40R-GKMDKD),2005,MHFXW42G952014946,1TR-6032023,3/31/2020,3/31/2020,POLRES,HIBAH,TIDAK AKTIF,HIBAH
KTV  2101, ,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN P,R,YAMAHA,B6H-AI A/T,2024,MH3SG5680RK223818,G3L8E2015346,3/27/2027,3/27/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2102, ,KELURAHAN SUNGAI PARIT,KANTOR KELURAHAN SUNGAI PARIT,R,YAMAHA,BKU A/T,2024,MH3SEJ910RJ036330,E31WE0227988,3/27/2027,3/27/2029,KELURAHAN SUNGAI PARIT,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2131, ,KELURAHAN SUNGAI PARIT,KANTOR KELURAHAN SUNGAI PARIT,R,YAMAHA,BKU A/T,2024,MH3SEJ910RJ036318,E31WE0227976,3/27/2027,3/27/2029,KELURAHAN SUNGAI PARIT,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2145,KTVP 3224,BADAN KEUANGAN DAN ASET DAERAH,DINAS PENDAPATAN DAERAH KAB. PPU,R,YAMAHA,1 KP AT,2014,MH31KP003EK704209,1KP704324,4/22/2027,4/22/2029,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2146,KTVP 3790,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71188K678678,HB71E-1667684,4/23/2027,4/23/2029,DINAS KESEHATAN,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2147,KTVP 3793,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71198K630493,HB71E-1621198,4/23/2027,4/23/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2151,KTVP 3791,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71188K537464,HB71E-1531157,4/23/2027,4/23/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2153,KTVP 3785,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71168K678646,HB71E-1667642,4/23/2027,4/23/2029,DINAS KESEHATAN,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2154,KTVP 3786,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71148K656130,HB71E-165951,4/23/2027,4/23/2029,DINAS KESEHATAN PKM PETUNG,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2156,KTVP 3236,KELURAHAN PETUNG,KANTOR KELURAHAN PETUNG,R,YAMAHA,1 LB,2014,MH31LB001DK057958,1LB058102,5/14/2027,5/14/2029,KELURAHAN PETUNG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2159,KTVP 3237,KELURAHAN PETUNG,KANTOR KELURAHAN PETUNG,R,YAMAHA,1 DY,2014,MH31DY009EJ240564,1DY240585,5/14/2027,5/14/2029,KELURAHAN PETUNG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2179,KTVP 3794,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB711X8K682084,HB71E-1678673,4/23/2027,4/23/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2183,KTVP 3802,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71118K697394,HB71E-1684927,5/12/2027,5/12/2029,DINAS KESEHATAN PKM WARU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2192,KTVP 3795,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71108K676889,HB71E-1674414,4/23/2027,4/23/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2199,KTVP 3806,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71118K583430,HB71E-1579240,5/12/2027,5/12/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2204,KTVP 3808,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71188K675683,HB71E-1661190,4/23/2027,4/23/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2207,KTVP 3238,DINAS SOSIAL,DINAS SOSIAL  TENAGA KERJA KAB.PPU,R,HONDA,NF11C1C MT,2014,MH1JBH110EK445879,JBH1E1440640,5/20/2027,5/20/2029,DINAS SOSIAL,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2214,KTVP 3241,DINAS SOSIAL,DINAS SISOAL  TENAGA KERJA KAB.PPU,R,HONDA,NF11C1C M/T,2014,MH1JBH11XEK448238,JBH1E1441238,5/20/2027,5/20/2029,DINAS SOSIAL,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2216,KTVP 3815,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71198K707816,HB71E-1699364,5/12/2027,5/12/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2217,KTVP 3787,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71198K697031,HB71E-1684587,4/23/2027,4/23/2029,DINAS KESEHATAN PKM SOTEK,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2218,KTVP 4089,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71168K659806,HB71E-1655081,5/12/2027,5/12/2029,DINAS KESEHATAN,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2237,KTVP 3818,KECAMATAN PENAJAM,KANTOR KECAMATAN PENAJAM,R,HONDA,NF 11B1D M/T,2009,MH1JBC11X9K085626,JBC1E-1088759,6/10/2027,6/10/2029,KECAMATAN PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2238,KTVP 3817,KECAMATAN PENAJAM,KANTOR KECAMATAN PENAJAM,R,HONDA,NF 11B1D M/T,2009,MH1JBC1119K073462,JBC1E-1067609,6/10/2027,6/10/2029,KECAMATAN PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2239, ,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",KANTOR DINAS PERUMAHAN KAWASAN PEMUKIMAN,R,VIAR,V 30 R M/T,2024,MGRVR30TARL300234,YX300FMG24300125,6/11/2027,6/11/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2245,KTVP 3053,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK115215,55S-115169,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2246,KTVP 3276,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA PP,R,HONDA,NF12A1CF MT,2014,MH1JBG11XEK169558,JBG1E1169130,7/11/2027,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2248,KTVP 3255,DINAS KEBUDAYAAN DAN PARIWISATA,KANTOR DISHUBBUDPARKAB.PPU,R,YAMAHA,1 DY,2014,MH31DY008EJ263770,1DY263792,6/9/2027,6/9/2029,DINAS KEBUDAYAAN DAN PARIWISATA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2249,KTVP 3821,KECAMATAN PENAJAM,KANTOR KECAMATAN PENAJAM,R,HONDA,NF 11B1D M/T,2009,MH1JBC1149K050547,JBC1E1050745,6/10/2027,6/10/2029,KECAMATAN PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2250, ,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",KANTOR DINAS PERUMAHAN KAWASAN PEMUKIMAN,R,VIAR,V 30 R M/T,2024,MGRVR30TARL300233,YX300FMG24300071,6/25/2027,6/25/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2254,KTVP 3279,DINAS PERTANIAN,DINAS PERTANIAN KAB.PPU,R,HONDA,CB15A1RRF MT,2014,MH1KC411XEK269353,KC41E1267642,7/11/2027,7/11/2029,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2256,KTVP 3820,KECAMATAN PENAJAM,KANTOR KECAMATAN PENAJAM,R,HONDA,NF 11B1D MT,2009,MHAJBC11X9K085898,JBC1E-1088918,6/10/2027,6/10/2029,KECAMATAN PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1103,KTVP 9910,DINAS KESEHATAN,DINAS KESEHATAN PPU,F,FORD,RANGER SC BASE 2.5L (4x2) MT,2007,MNBBSBE407W680871,WLAT839761,12/19/2024,12/19/2027,DINAS KESEHATAN,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2259, ,DINAS PERTANIAN,DINAS PERTANIAN KABUPATEN PENAJAM PASER,R,YAMAHA,BKU A/T,2024,MH3SEJ910RJ037178,E31WE0228836,7/9/2027,7/9/2029,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2261, ,DINAS PERTANIAN,DINAS PERTANIAN KABUPATEN PENAJAM PASER,R,YAMAHA,BKU A/T,2024,MH3SEJ910RJ040541,E31WE0232199,7/9/2027,7/9/2029,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2265, ,DINAS PERTANIAN,DINAS PERTANIAN KABUPATEN PENAJAM PASER,R,YAMAHA,BKU A/T,2024,MH3SEJ910RJ042785,E31WE0234443,7/9/2027,7/9/2029,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2267, ,DINAS PERTANIAN,DINAS PERTANIAN KABUPATEN PENAJAM PASER,R,YAMAHA,BKU A/T,2024,MH3SEJ910RJ040351,E31WE0232008,7/9/2027,7/9/2029,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2269, ,DINAS PERTANIAN,DINAS PERTANIAN KABUPATEN PENAJAM PASER,R,YAMAHA,BKU A/T,2024,MH3SEJ910RJ040639,E31WE0232297,7/9/2027,7/9/2029,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2270,KTVP 3258,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM KAB.PPU,R,HONDA,CB15A1RRF M/T,2014,MH1KC4117EK240456,KC41E1237717,7/8/2027,7/8/2029,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2271,KTVP 3277,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,R,HONDA,NF12A1CF M/T,2014,MH1JBG110EK169097,JBG1E1168689,7/11/2027,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2273,KTVP 3264,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA PP,R,HONDA,NF12A1CF M/T,2014,MH1JBG110EK166359,JBG1E1165960,7/11/2027,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2274,KTVP 3269,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,R,HONDA,NF12A1CF M/T,2014,MH1JBG117EK151728,JBG1E1151510,7/11/2026,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2275,KTVP 3259,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,R,HONDA,NF12A1CF MT,2014,MH1JBG117EK169890,JBG1E1169525,7/11/2026,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2313,KTVP 3265,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA PP,R,HONDA,NF12A1CF M/T,2014,MH1JBG113EK166789,JBG1E1166393,7/11/2027,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2371,KTVP 3837,DINAS KESEHATAN,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1169K183598,JBC1E-1184784,8/26/2026,8/26/2029,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2429,KTVP 4067,BADAN PENANGGULANGAN BENCANA DAERAH,BADAN PENANGGULANGAN BENCANA DAERAH PPU,R,KAWASAKI,LX150C (KLX 150S),2015,MH4LX150CFJP28139,LX150CEPM5464,7/6/2027,7/6/2030,BADAN PENANGGULANGAN BENCANA DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2450,KTVP 3261,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA PP,R,HONDA,NF12A1CF M/T,2014,MH1JBG112EK169814,JBG1E1169582,7/11/2027,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2490,KTVP 3244,BADAN PENDAPATAN DAERAH,DINAS PENDAPATAN DAERAH KAB.PPU,R,HONDA,GL15C21A07 M/T,2014,MH1KC6116EK007812,KC61E1007769,5/20/2027,5/20/2029,BADAN PENDAPATAN DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2501,KTVP 3246,BADAN PENDAPATAN DAERAH,DINAS PENDAPATAN DAERAH KAB.PPU,R,HONDA,GL15C21A07 M/T,2014,MH1KC6110EK006526,KC61E1006457,5/20/2027,5/20/2029,BADAN PENDAPATAN DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2502,KTVP 3245,BADAN PENDAPATAN DAERAH,DINAS PENDAPATAN DAERAH KAB.PPU,R,HONDA,GL15C21A07 M/T,2014,MH1KC6119EK000787,KC61E1001068,5/20/2027,5/20/2029,BADAN PENDAPATAN DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2503,KTVP 3248,BADAN PENDAPATAN DAERAH,DINAS PENDAPATAN DAERAH KAB.PPU,R,HONDA,NC12AF2CBI AT,2014,MH1JFF1193K361293,JFF1E1351372,5/28/2027,5/28/2029,BADAN PENDAPATAN DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2505,KTVP 3888,SATUAN POLISI PAMONG PRAJA,SATUAN POLISI PAMONG PRAJA,R,YAMAHA,1 PA,2014,MH31PA002EK418361,1PA418782,4/8/2027,4/8/2029,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2508,KTVP 3275,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA PP,R,HONDA,GL15B1DF MT,2014,MH1KC5111EK024821,KC51E1025039,7/11/2026,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2514,KTVP 3230,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB.PPU,R,YAMAHA,1 LB,2014,MH31LB00AEJ1231706,1LB131729,4/30/2027,4/30/2029,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2516,KTVP 3257,KELURAHAN NENANG,KELURAHAN NENANG KAB.PPU,R,YAMAHA,2 SV,2014,MH32SV001EK061832,2SV062070,7/2/2026,7/2/2029,KELURAHAN NENANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2517,KTVP 3239,DINAS SOSIAL,DINAS SOSIAL  TENAGA KERJA KAB.PPU,R,HONDA,NF11C1C MT,2014,MH1JBH110EK445882,JBH1E1440637,5/20/2027,5/20/2029,DINAS SOSIAL,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2519,KTVP 3286,DINAS PERIKANAN,DINAS KELAUTAN DAN PERIKANAN,R,YAMAHA,45P,2014,MH345P004EK274805,45P284883,8/18/2026,8/18/2029,DINAS PERIKANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2520,KTVP 3240,DINAS SOSIAL,DINAS SOSIAL TENAGA KERJA KAB.PPU,R,HONDA,NF11C1C M/T,2014,MH1JBH111EK445891,JBH1E1440679,5/20/2026,5/20/2029,DINAS SOSIAL,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2521,KTVP 3633,DINAS KESEHATAN,DINAS KESEHATAN KAB. PPU,R,HONDA,NF100 SE,2007,MH1HB71187K198669,HB71E1196208,2/1/2027,2/1/2028,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2523,KTVP 4379,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PERIKANAN DAN KELAUTAN,R,SUZUKI,FK110 SD K6 N SMASH SPOKEWHEEL,2008,MH8BE4DFA8J643934,E451-ID-663492,2/4/2027,2/4/2029,DINAS PU DAN PENATAAN RUANG,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2529, ,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA KAB,R,YAMAHA,BKU A/T,2024,MH3SEJ910RJ047561,E31WE0239219,8/6/2026,8/6/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2530, ,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA KAB,R,YAMAHA,BKU A/T,2024,MH3SEJ910RJ046952,E31WE0238609,8/6/2026,8/6/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2531,KTVP 3267,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA PP,R,HONDA,NF12A1CF M/T,2014,MH1JBG114EK169037,JBG1E1168786,7/11/2025,7/11/2029,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2532,KTVP 3875,DINAS KESEHATAN,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D M/T,2009,MH1JBC1159K101764,JBC-1102774,8/26/2026,8/26/2029,DINAS KESEHATAN PKM SOTEK,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2535,KTVP 3862,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D M/T,2009,MH1JBC1159K186699,JBC1E-1185313,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2537,KTVP 3281,KELURAHAN SOTEK,KANTOR KELURAHAN SOTEK,R,YAMAHA,55S (T135SEC),2014,MH355S005EK141226,55S141232,8/4/2026,8/4/2029,KELURAHAN SOTEK,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2540,KTVP 3661,SEKRETARIAT DPRD,SEKRETARIAT DPRD,R,SUZUKI,FL 125 SD,2007,MH8BF45CA7J123743,F496 - ID - 135452,1/17/2027,1/17/2028,DPRD PPU,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2541,KTVP 3662,SEKRETARIAT DPRD,SEKRETARIAT DPRD,R,SUZUKI,FL 125 SD,2007,MH8BF45CA7J125013,F496 - ID - 140582,1/17/2027,1/17/2028,DPRD PPU,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2544,KTVP 3836,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC11X9K186715,JBC1E-1185422,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2546,KTVP 3858,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1139K186698,JBC1E-1185191,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2549,KTVP 3851,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHAATN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1189K186678,JBC1E-1185355,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2550,KTVP 3847,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1159K226277,JBC1E-1221182,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2551,KTVP 3242,DINAS SOSIAL,DINAS SOSIAL  TENAGA KERJA KEB.PPU,R,HONDA,NF11C1C MT,2014,MH1JBH11XEK425932,JBH1E1421830,5/20/2027,5/20/2029,DINAS SOSIAL,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2553,KTVP 3844,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1139K182098,JBC1E-1176453,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2554,KTVP 3868,DINAS KESEHATAN,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1199K226301,JBC1E-1221287,8/26/2026,8/26/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2556,KTVP 3861,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D M/T,2009,MH1JBC11X9K180848,JBC1E-1183978,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2557,KTVP 3848,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1159K183088,JBC1E-1184352,8/26/2026,8/26/2029,RSUD,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2558,KTVP 3859,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1159K180739,JBC1E-1184215,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
