NO POLISI,NOPOL LAMA,OPD,NAMA PEMILIK,JENIS_KB,MEREK_KB,TYPE_KB,TAHUN_KB,NOKA,NOSIN,AKHIR_PKB,AKHIR_STNK,LOKASI,STATUS_KB,STATUS_TAGIHAN,KETERANGAN
KTVP 8060,KTV- 8075,PENGELOLA (BKAD),DINAS PEKERJAAN UMUM,F,TOYOTA,HILUX 2.5G DC (4X4) M/T,2012,MR0FR2269C0624424,2KD5912255,1/11/2025,1/11/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 8061,KTV- 8063,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DINAS PERTAMBANGAN KAB.PPU,F,TOYOTA,HILUX 2.5G DC (4X4) MT,2012,MR0FR22G0C0622433,2KD-5882197,12/7/2026,12/7/2027,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8062,KTV- 8054,DINAS LINGKUNGAN HIDUP,DINAS PEKERJAAN UMUM,F,TOYOTA,HILUX PU 2.0 (TGN10R-TRMDKD),2012,MR0AW12G7C0031237,1TR-7274370,5/1/2026,5/1/2027,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8063,KTV- 8066,PENGELOLA (BKAD),DINAS KEHUTANAN DAN PERKEBUNAN KAB.PPU,F,TOYOTA,HILUX 2.5G DC (4X4) MT,2012,MROFR22G9C0623466,2KD-5897559,1/8/2025,1/8/2028,PENGELOLA,LELANG,TIDAK AKTIF,LELANG
KTVP 8064,KTV- 8065,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA KAB,F,TOYOTA,HILUX 2.5G DC (4X4) MT,2012,MROFR22G4C0626307,2KD-5938050,1/8/2027,1/8/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8066,KTV- 8078,SATUAN POLISI PAMONG PRAJA,SATPOL PP,F,TOYOTA,HILUX 2.5G DC (4X4) MT,2013,MR0FR22G3D0756001,2KD-A083087,4/26/2027,4/26/2028,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8067,KTV- 8004,PENGELOLA (BKAD),PEMKAB.PENAJAM PASER UTARA,F,TOYOTA,KIJANG STANDARD KF 60,2003,MHF31KF6030022032,7K - 0588264,7/9/2026,7/9/2028,PENGELOLA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8068,KTV- 8074,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM,F,TOYOTA,HILUX PICK UP 2.5L DSL M/T,2012,MR0AS1267C0009556,2KD5918991,1/11/2027,1/11/2028,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8069,KTV- 8076,SATUAN POLISI PAMONG PRAJA,DISHUBBUDPAR KAB.PPU,F,TOYOTA,HILUX PICK UP 2.5L DSL M/T,2012,MR0AS12G8C0009940,2KD-U212009,5/15/2027,5/15/2028,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8070,KTV- 8077,DINAS LINGKUNGAN HIDUP,DPU BID. KEBERSIHAN & PERTAMANAN KAB. PP,F,MITSUBISHI,L300 PU FB-R (4X2) M/T,2012,MHMLOPU39CK108116,4D56C-HO7527,2/1/2026,2/1/2028,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8071, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,NISSAN,NAVARA VL 2.5 (4X4) MT PICK UP DOUBLE CABIN,2018,MNTCC4D23Z0037385,YD25774536T,3/6/2027,3/6/2029,PEMKAB PPU,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTVP 8072, ,SATUAN POLISI PAMONG PRAJA,SATUAN POLISI PAMONG PRAJA,F,TOYOTA,HILUX 2.4E DC 4X4 MT (GUN125R-DTFLHD),2018,MR0DB8CD2J0176396,2GD0471807,7/2/2027,7/2/2029,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8073, ,SATUAN POLISI PAMONG PRAJA,SAT POL PP KAB.PPU,F,TOYOTA,HILUX PICK UP 2.0 MT (TGN110R-BTMXKD),2019,MR0EW8BB9K0207928,1TRA594394,8/24/2027,8/24/2029,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8075, ,"DINAS KOPERASI, UKM, PERINDUSTRIAN DAN PERDAGANGAN","DINAS KOPERASI,UKM,PERINDUSTRIAN DAN PER",F,TOYOTA,HILUX 2.4G DC 4X4 MT (GUN125R-DTFSHD),2019,MR0KB8CD7K1209492,2GD-4726111,10/22/2026,10/22/2029,DISKUKMPERINDAG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8076, ,DINAS PERHUBUNGAN,KANTOR DINAS PERHUBUNGAN,F,TOYOTA,HILUX 2.4G DC 4X4 MT (GUN125R-DTFSHD),2019,MR0KB8CD3K1122205,2GD  0702765,1/17/2027,1/17/2030,DINAS PERHUBUNGAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8077,KTV- 8015,KODIM,PEMKAB PENAJAM PASER UTARA,F,TOYOTA,KIJANG STANDARD KF 60,2006,MHF31KF6060049210,7K - 0840380,1/9/2021,1/9/2017,KODIM,HIBAH,TIDAK AKTIF,HIBAH
KTVP 8078,KTV- 8017,KODIM,PEMKAB PENAJAM PASER UTARA,F,TOYOTA,KIJANG STANDARD KF 60,2006,MHF31KF6060051158,7K - 0852648,1/9/2021,1/9/2017,KODIM,HIBAH,TIDAK AKTIF,HIBAH
KTVP 8079,KTV- 8062,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.5E DC (4X4) MT,2012,MR0FR2260C0618267,2KD-S087015,9/20/2020,9/20/2022,PEMKAB PPU,HIBAH,TIDAK AKTIF,HIBAH
KTVP 8082,KTV- 8052,SEKRETARIAT DAERAH,PEMERINTAH KAB.PPU,F,TOYOTA,HILUX 2.5G DC (4X4) MT,2011,MROFR22G9B0603166,2KD-6828536,2/22/2020,2/22/2022,PEMKAB PPU,HIBAH,TIDAK AKTIF,HIBAH
